sample_id,depth_m,lithology,porosity,permeability
SMP-071,1022.7,Sandstone,0.2017,3000.0
SMP-072,1937.3,Sandstone,0.2723,2690.6
SMP-073,1112.6,Limestone,0.1779,766.42
SMP-074,1237.6,Limestone,0.2739,3000.0
SMP-075,1235.1,Sandstone,0.0228,0.06
SMP-076,2298.4,Shale,0.2293,3000.0
SMP-077,2492.1,Limestone,0.1852,471.49
SMP-078,2166.7,Sandstone,0.1621,30.11
SMP-079,2924.3,Shale,0.1855,162.91
SMP-080,1749.7,Dolomite,0.0607,2.01
SMP-081,1571.4,Sandstone,0.1668,61.92
SMP-082,2737.2,Sandstone,0.2014,1322.1
SMP-083,1447.2,Shale,0.2687,3000.0
SMP-084,2926.4,Shale,0.1489,27.86
SMP-085,1024.3,Sandstone,0.1315,548.47
SMP-086,2939.8,Sandstone,0.1499,172.99
SMP-087,1086.3,Sandstone,0.2349,326.02
SMP-088,2782.3,Limestone,0.1997,1163.65
SMP-089,2055.4,Limestone,0.1482,26.52
SMP-090,2985.9,Sandstone,0.2108,3000.0
SMP-091,1147.6,Limestone,0.1858,148.81
SMP-092,2107.7,Shale,0.2381,3000.0
SMP-093,2938.6,Sandstone,0.1379,78.76
SMP-094,2046.2,Sandstone,0.1603,404.52
SMP-095,2258.8,Shale,0.1565,19.15
SMP-096,2391.5,Shale,0.0922,2.44
SMP-097,1909.1,Limestone,0.1978,422.58
SMP-098,2255.1,Limestone,0.1957,296.89
SMP-099,2168.6,Sandstone,0.1803,3000.0
SMP-100,2802.3,Limestone,0.1659,284.01
SMP-101,1090.9,Limestone,0.0951,0.79
SMP-102,1561.9,Sandstone,0.1548,327.69
SMP-103,2900.8,Sandstone,0.1594,2192.35
SMP-104,2780.5,Sandstone,0.1319,120.36
SMP-105,1911.3,Sandstone,0.1703,24.86
SMP-106,2240.3,Sandstone,0.2042,579.17
SMP-107,1554.8,Sandstone,0.2932,3000.0
SMP-108,1376.2,Sandstone,0.1905,211.76
SMP-109,1927.4,Sandstone,0.1955,1337.39
SMP-110,1706.7,Shale,0.1755,770.04
SMP-111,2167.3,Limestone,0.0649,0.27
SMP-112,1155.5,Limestone,0.1784,281.38
SMP-113,2948.8,Shale,0.1836,4.52
SMP-114,2972.4,Limestone,0.3278,3000.0
SMP-115,2396.3,Sandstone,0.1685,130.18
SMP-116,2072.2,Limestone,0.1981,147.7
SMP-117,1619.1,Limestone,0.1779,2842.02
SMP-118,2627.6,Shale,0.1099,1.32
SMP-119,2369.5,Limestone,0.2486,3000.0
SMP-120,1325.2,Sandstone,0.2251,3000.0
SMP-121,2821.9,Sandstone,0.2275,3000.0
SMP-122,2645.1,Sandstone,0.1254,2.87
SMP-123,2899.6,Limestone,0.2642,3000.0
SMP-124,2451.4,Limestone,0.0959,4.74
SMP-125,2226.8,Sandstone,0.2152,507.86
SMP-126,1836.5,Dolomite,0.3114,3000.0
SMP-127,2865.5,Limestone,0.1206,21.47
SMP-128,2732.1,Sandstone,0.146,25.84
SMP-129,1090.4,Sandstone,0.186,493.65
SMP-130,1052.7,Sandstone,0.1498,42.09
SMP-131,1752.9,Sandstone,0.087,3.48
SMP-132,2621.1,Sandstone,0.1841,1018.08
SMP-133,2974.6,Sandstone,0.1163,117.32
SMP-134,1300.8,Sandstone,0.2084,252.61
SMP-135,2188.3,Sandstone,0.1248,385.64
SMP-136,1761.8,Shale,0.273,2481.19
SMP-137,2939.8,Sandstone,0.133,24.83
SMP-138,2684.2,Limestone,0.1607,280.46
SMP-139,2676.7,Limestone,0.2288,3000.0
SMP-140,1937.4,Dolomite,0.1061,3.32
SMP-141,1829.6,Sandstone,0.1936,495.88
SMP-142,1546.8,Sandstone,0.2584,3000.0
SMP-143,1112.8,Dolomite,0.0836,1.11
SMP-144,2729.4,Shale,0.1911,1877.06
SMP-145,2625.8,Shale,0.1956,1194.69
SMP-146,2999.4,Sandstone,0.2269,1368.55
SMP-147,2993.3,Sandstone,0.1058,26.73
SMP-148,2110.9,Limestone,0.1008,9.15
SMP-149,2538.0,Dolomite,0.2113,3000.0
SMP-150,2889.5,Limestone,0.1978,1948.93
